,Unnamed: 0,t1_score,t2_score,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
274,274,,,275,2011,1,5/3/2011,6,11,11,1,normal,0.0,6,20.0,0.0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,
275,275,,,276,2011,12,5/4/2011,10,9,10,2,normal,0.0,9,0.0,8.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,
276,276,,,277,2011,6,5/4/2011,2,13,13,1,normal,0.0,2,21.0,0.0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,
277,277,,,278,2011,25,5/5/2011,12,6,6,1,normal,0.0,12,17.0,0.0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,
278,278,,,279,2011,1,5/5/2011,11,7,7,1,normal,0.0,7,0.0,4.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
279,279,,,280,2011,5,5/6/2011,5,8,8,1,normal,0.0,5,85.0,0.0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,
280,280,,,281,2011,7,5/7/2011,9,6,9,2,normal,1.0,6,10.0,0.0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,
281,281,,,282,2011,6,5/7/2011,2,7,7,1,normal,0.0,2,32.0,0.0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,
282,282,,,283,2011,5,5/8/2011,12,5,12,2,normal,0.0,5,0.0,9.0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
283,283,,,284,2011,9,5/8/2011,8,13,8,2,normal,0.0,13,0.0,5.0,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
284,284,,,285,2011,11,5/9/2011,9,10,10,1,normal,0.0,9,63.0,0.0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,
285,285,,,286,2011,1,5/10/2011,11,13,11,2,normal,0.0,13,0.0,6.0,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
286,286,,,287,2011,9,5/10/2011,8,2,2,1,normal,0.0,8,76.0,0.0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
287,287,,,288,2011,11,5/11/2011,10,5,5,1,normal,0.0,5,0.0,9.0,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan,
288,288,,,289,2011,12,5/12/2011,9,7,9,2,normal,0.0,9,18.0,0.0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,
289,289,,,290,2011,4,5/13/2011,12,8,8,1,normal,0.0,8,0.0,6.0,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,
290,290,,,291,2011,5,5/14/2011,6,5,5,1,normal,1.0,5,0.0,4.0,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
291,291,,,292,2011,6,5/14/2011,11,2,11,2,normal,0.0,11,10.0,0.0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore,
292,292,,,293,2011,24,5/15/2011,8,7,7,1,normal,0.0,8,29.0,0.0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,
293,293,,,294,2011,4,5/15/2011,10,12,12,1,normal,0.0,12,0.0,8.0,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,
294,294,,,295,2011,6,5/16/2011,13,11,11,1,normal,0.0,11,0.0,6.0,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,
295,295,,,296,2011,24,5/17/2011,8,5,8,2,normal,0.0,8,111.0,0.0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
296,296,,,297,2011,12,5/18/2011,9,12,9,2,normal,0.0,9,11.0,0.0,WP Saha,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RE Koertzen,
297,297,,,298,2011,6,5/19/2011,13,6,6,1,normal,0.0,6,0.0,7.0,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,
298,298,,,299,2011,6,5/20/2011,2,10,2,2,normal,0.0,10,0.0,10.0,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,
299,299,,,300,2011,24,5/21/2011,11,8,8,1,normal,0.0,11,82.0,0.0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
300,300,,,301,2011,8,5/21/2011,7,13,7,2,no result,0.0,no result,0.0,0.0,,Feroz Shah Kotla,SS Hazare,RJ Tucker,
301,301,,,302,2011,5,5/22/2011,9,5,5,1,normal,0.0,5,0.0,8.0,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,
302,302,,,303,2011,7,5/22/2011,6,2,2,1,normal,0.0,2,0.0,5.0,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel,
303,303,,,304,2011,6,5/24/2011,5,9,9,1,normal,0.0,9,0.0,6.0,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,
304,304,,,305,2011,6,5/25/2011,6,2,2,1,normal,0.0,2,0.0,4.0,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,
305,305,,,306,2011,12,5/27/2011,5,2,2,1,normal,0.0,5,43.0,0.0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
306,306,,,307,2011,12,5/28/2011,9,5,9,2,normal,0.0,9,58.0,0.0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
307,307,,,308,2012,12,4/4/2012,9,2,2,1,normal,0.0,2,0.0,8.0,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel,
308,308,,,309,2012,7,4/5/2012,6,7,7,1,normal,0.0,7,0.0,8.0,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,
309,309,,,310,2012,6,4/6/2012,13,2,2,1,normal,0.0,13,28.0,0.0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,
310,310,,,311,2012,11,4/6/2012,10,8,8,1,normal,0.0,10,31.0,0.0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
311,311,,,312,2012,5,4/7/2012,5,7,7,1,normal,0.0,5,20.0,0.0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,
312,312,,,313,2012,26,4/7/2012,9,11,11,1,normal,0.0,9,74.0,0.0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena,
313,313,,,314,2012,11,4/8/2012,10,6,6,1,normal,0.0,10,22.0,0.0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,
314,314,,,315,2012,2,4/8/2012,13,8,13,2,normal,0.0,13,22.0,0.0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
315,315,,,316,2012,26,4/9/2012,11,2,11,2,normal,0.0,2,0.0,5.0,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,
316,316,,,317,2012,5,4/10/2012,6,5,5,1,normal,0.0,6,42.0,0.0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
317,317,,,318,2012,8,4/10/2012,9,7,7,1,normal,0.0,7,0.0,8.0,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,
318,318,,,319,2012,6,4/11/2012,2,10,10,1,normal,0.0,2,27.0,0.0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,
319,319,,,320,2012,12,4/12/2012,5,9,5,2,normal,0.0,9,0.0,5.0,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,
320,320,,,321,2012,9,4/12/2012,13,8,8,1,normal,0.0,8,0.0,7.0,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore,
321,321,,,322,2012,7,4/13/2012,10,6,10,2,normal,0.0,6,0.0,5.0,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,
322,322,,,323,2012,8,4/19/2012,11,7,11,2,normal,0.0,7,0.0,5.0,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore,
323,323,,,324,2012,2,4/14/2012,9,13,9,2,normal,0.0,13,0.0,7.0,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,
324,324,,,325,2012,7,4/15/2012,8,6,6,1,normal,0.0,8,2.0,0.0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,
325,325,,,326,2012,5,4/15/2012,10,5,10,2,normal,0.0,10,59.0,0.0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,
326,326,,,327,2012,6,4/16/2012,2,7,7,1,normal,0.0,7,0.0,7.0,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,
327,327,,,328,2012,11,4/17/2012,11,10,11,2,normal,0.0,10,0.0,5.0,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford,
328,328,,,329,2012,5,4/17/2012,13,5,13,2,normal,0.0,5,0.0,6.0,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das,
329,329,,,330,2012,9,4/18/2012,8,6,8,2,normal,0.0,6,0.0,8.0,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,
330,330,,,331,2012,1,5/10/2012,11,7,11,2,normal,0.0,7,0.0,9.0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,
331,331,,,332,2012,12,4/19/2012,9,13,13,1,normal,0.0,9,13.0,0.0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das,
332,332,,,333,2012,9,4/20/2012,8,5,5,1,normal,0.0,5,0.0,5.0,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker,
333,333,,,334,2012,12,4/21/2012,10,9,10,2,normal,0.0,9,0.0,7.0,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,
334,334,,,335,2012,8,4/21/2012,13,7,7,1,normal,0.0,13,20.0,0.0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,
335,335,,,336,2012,6,4/22/2012,2,8,2,2,normal,0.0,8,0.0,6.0,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,
