,id,t1_score,t2_score,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
301,302,1.407,0.995,2011,5,5/22/2011,9,5,5,1,normal,0,5,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,
302,303,1.011,1.303,2011,7,5/22/2011,6,2,2,1,normal,0,2,0,5,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel,
303,304,0.995,1.407,2011,6,5/24/2011,5,9,9,1,normal,0,9,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,
304,305,1.011,1.303,2011,6,5/25/2011,6,2,2,1,normal,0,2,0,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,
305,306,0.995,1.303,2011,12,5/27/2011,5,2,2,1,normal,0,5,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
306,307,1.407,0.995,2011,12,5/28/2011,9,5,9,2,normal,0,9,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
307,308,1.407,1.303,2012,12,4/4/2012,9,2,2,1,normal,0,2,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel,
308,309,1.011,1.226,2012,7,4/5/2012,6,7,7,1,normal,0,7,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,
309,310,0,1.303,2012,6,4/6/2012,13,2,2,1,normal,0,13,28,0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,
310,311,1.56,1.092,2012,11,4/6/2012,10,8,8,1,normal,0,10,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
311,312,0.995,1.226,2012,5,4/7/2012,5,7,7,1,normal,0,5,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,
312,313,1.407,0,2012,26,4/7/2012,9,11,11,1,normal,0,9,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena,
313,314,1.56,1.011,2012,11,4/8/2012,10,6,6,1,normal,0,10,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,
314,315,0,1.092,2012,2,4/8/2012,13,8,13,2,normal,0,13,22,0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
315,316,0,1.303,2012,26,4/9/2012,11,2,11,2,normal,0,2,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,
316,317,1.011,0.995,2012,5,4/10/2012,6,5,5,1,normal,0,6,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
317,318,1.407,1.226,2012,8,4/10/2012,9,7,7,1,normal,0,7,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,
318,319,1.303,1.56,2012,6,4/11/2012,2,10,10,1,normal,0,2,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,
319,320,0.995,1.407,2012,12,4/12/2012,5,9,5,2,normal,0,9,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,
320,321,0,1.092,2012,9,4/12/2012,13,8,8,1,normal,0,8,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore,
321,322,1.56,1.011,2012,7,4/13/2012,10,6,10,2,normal,0,6,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,
322,323,0,1.226,2012,8,4/19/2012,11,7,11,2,normal,0,7,0,5,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore,
323,324,1.407,0,2012,2,4/14/2012,9,13,9,2,normal,0,13,0,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,
324,325,1.092,1.011,2012,7,4/15/2012,8,6,6,1,normal,0,8,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,
325,326,1.56,0.995,2012,5,4/15/2012,10,5,10,2,normal,0,10,59,0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,
326,327,1.303,1.226,2012,6,4/16/2012,2,7,7,1,normal,0,7,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,
