,team2,t2_score,Unnamed: 0,team1,t1_score,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
217,7,1.226,515,5,0.995,129,2009,14,4/26/2009,5,2,normal,0,7,0,6,TM Dilshan,St George's Park,S Asnani,BG Jerling,
218,7,1.226,528,5,0.995,312,2012,5,4/7/2012,7,1,normal,0,5,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,
219,7,1.226,534,5,0.995,372,2012,8,5/17/2012,7,1,normal,0,5,21,0,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,
220,7,1.226,542,5,0.995,438,2013,8,5/10/2013,7,1,normal,0,5,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath,
221,7,1.226,549,5,0.995,495,2014,5,5/13/2014,7,1,normal,0,5,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,
222,7,1.226,559,5,0.995,587,2016,5,4/17/2016,7,1,normal,0,7,0,7,Q de Kock,M Chinnaswamy Stadium,VA Kulkarni,A Nand Kishore,
223,8,1.092,0,9,1.407,61,2008,9,4/19/2008,9,2,normal,0,9,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,
224,8,1.092,6,9,1.407,91,2008,12,5/10/2008,8,1,normal,0,9,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,
225,8,1.092,14,9,1.407,149,2009,16,5/7/2009,9,2,normal,1,9,12,0,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene,
226,8,1.092,17,9,1.407,169,2009,15,5/20/2009,9,2,normal,0,9,24,0,M Muralitharan,Kingsmead,BG Jerling,SJA Taufel,
227,8,1.092,28,9,1.407,243,2011,9,4/13/2011,8,1,normal,0,8,0,6,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SL Shastri,
228,8,1.092,47,9,1.407,371,2012,24,5/17/2012,8,1,normal,0,8,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,VA Kulkarni,SK Tarapore,
229,8,1.092,54,9,1.407,425,2013,12,5/2/2013,9,2,normal,0,9,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
230,8,1.092,59,9,1.407,460,2014,29,4/18/2014,9,2,normal,0,8,0,6,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
231,8,1.092,71,9,1.407,542,2015,12,4/25/2015,9,2,normal,0,9,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,
232,8,1.092,106,2,1.303,215,2010,9,4/9/2010,2,2,normal,0,8,0,6,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,AM Saheba,
233,8,1.092,116,2,1.303,273,2011,6,5/2/2011,8,1,normal,0,2,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,
234,8,1.092,122,2,1.303,336,2012,6,4/22/2012,2,2,normal,0,8,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,
235,8,1.092,131,2,1.303,421,2013,6,4/29/2013,2,2,normal,0,2,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,
236,8,1.092,152,2,1.303,552,2015,9,5/3/2015,2,2,normal,0,2,23,0,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",RK Illingworth,VA Kulkarni,
237,8,1.092,159,2,1.303,597,2016,9,4/25/2016,8,1,normal,0,2,25,0,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,RJ Tucker,
238,8,1.092,160,2,1.303,619,2016,26,5/13/2016,2,2,normal,0,8,0,7,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,CK Nandan,
239,8,1.092,170,1,0.33,19,2017,1,4/17/2017,8,1,normal,0,1,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,
240,8,1.092,173,1,0.33,32,2017,9,4/28/2017,8,1,normal,0,1,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,
241,8,1.092,182,1,0.33,440,2013,9,5/11/2013,8,1,normal,0,1,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker,
242,8,1.092,193,1,0.33,496,2014,1,5/14/2014,8,1,normal,0,8,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,
243,8,1.092,198,1,0.33,544,2015,9,4/27/2015,8,1,normal,0,1,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney,
244,8,1.092,202,1,0.33,564,2015,1,5/11/2015,1,2,normal,0,1,5,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,
245,8,1.092,215,1,0.33,661,2018,1,26-Apr,8,1,,,1,,,,,,,
246,8,1.092,218,7,1.226,15,2017,8,4/15/2017,7,2,normal,0,7,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,
247,8,1.092,221,7,1.226,35,2017,9,4/30/2017,8,1,normal,0,8,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan,
248,8,1.092,223,7,1.226,73,2008,9,4/27/2008,7,2,normal,0,8,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,
249,8,1.092,228,7,1.226,100,2008,8,5/17/2008,7,2,normal,1,8,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,
250,8,1.092,232,7,1.226,161,2009,20,5/15/2009,8,1,normal,0,8,0,6,B Lee,OUTsurance Oval,HDPK Dharmasena,IL Howell,
251,8,1.092,241,7,1.226,218,2010,8,4/11/2010,7,2,normal,0,8,0,7,PP Chawla,Feroz Shah Kotla,BF Bowden,AM Saheba,
252,8,1.092,244,7,1.226,259,2011,8,4/23/2011,8,1,normal,0,7,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,
253,8,1.092,259,7,1.226,443,2013,8,4/23/2013,8,1,normal,0,8,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath,
254,8,1.092,265,7,1.226,502,2014,8,5/19/2014,8,1,normal,0,8,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak,
255,8,1.092,266,7,1.226,512,2014,9,5/25/2014,8,1,normal,0,8,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,
256,8,1.092,280,7,1.226,638,2018,32,8-Apr,8,1,,,8,,,,,,,
257,8,1.092,373,10,1.56,145,2009,15,5/5/2009,8,1,normal,0,10,78,0,GC Smith,Kingsmead,SS Hazare,IL Howell,
258,8,1.092,380,10,1.56,193,2010,9,3/24/2010,8,1,normal,0,10,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore,
259,8,1.092,390,10,1.56,311,2012,11,4/6/2012,8,1,normal,0,10,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
260,8,1.092,396,10,1.56,354,2012,9,5/5/2012,10,2,normal,0,10,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,
261,8,1.092,409,10,1.56,464,2014,30,4/20/2014,8,1,normal,0,8,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus,
262,8,1.092,415,10,1.56,520,2015,2,4/10/2015,8,1,normal,0,10,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,
263,8,1.092,416,10,1.56,536,2015,21,4/21/2015,8,1,tie,0,8,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,
264,8,1.092,441,6,1.011,142,2009,14,5/3/2009,6,2,normal,0,8,0,6,DPMD Jayawardene,St George's Park,S Asnani,MR Benson,
265,8,1.092,448,6,1.011,196,2010,9,3/27/2010,6,2,normal,0,6,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
266,8,1.092,450,6,1.011,208,2010,7,4/4/2010,6,2,normal,0,8,0,8,DPMD Jayawardene,Eden Gardens,S Asnani,DJ Harper,
267,8,1.092,480,6,1.011,514,2014,7,5/27/2014,8,1,normal,0,6,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,
268,8,1.092,487,6,1.011,608,2016,7,5/4/2016,8,1,normal,0,6,7,0,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,
269,8,1.092,495,6,1.011,654,2018,7,21-Apr,8,1,,,8,,,,,,,
270,8,1.092,499,5,0.995,8,2017,4,4/10/2017,5,2,normal,0,8,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
271,8,1.092,507,5,0.995,84,2008,5,5/5/2008,8,1,normal,0,8,0,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove,
272,8,1.092,509,5,0.995,94,2008,9,5/12/2008,5,2,normal,0,8,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram,
273,8,1.092,514,5,0.995,127,2009,15,4/24/2009,5,2,normal,0,8,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,
274,8,1.092,516,5,0.995,139,2009,15,5/1/2009,5,2,normal,0,5,8,0,Yuvraj Singh,Kingsmead,HDPK Dharmasena,S Ravi,
275,8,1.092,525,5,0.995,280,2011,5,5/6/2011,8,1,normal,0,5,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,
276,8,1.092,531,5,0.995,350,2012,5,5/2/2012,8,1,normal,0,8,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,
277,8,1.092,541,5,0.995,429,2013,5,5/14/2013,8,1,normal,0,8,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi,
278,8,1.092,544,5,0.995,448,2013,9,5/6/2013,8,1,normal,0,8,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,NJ Llong,
279,8,1.092,547,5,0.995,475,2014,31,4/28/2014,8,1,normal,0,8,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi,
280,8,1.092,554,5,0.995,557,2015,5,5/6/2015,8,1,normal,0,5,138,0,CH Gayle,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,
